"姓氏","拼音","人口","姓氏来源信息"
"赵","Zhào","约 2670 万","赵姓出自嬴姓，形成于西周，祖先是伯益，具体始祖是造父。"
"钱","Qián","约 220 万","钱姓源出彭姓，为颛顼帝曾孙陆终的后代。"
"孙","Sūn","约 1840 万","孙姓主要由三支组成：姬姓、芈姓和妫姓。"
"李","Lǐ","约 9500 万","李姓是中国第一大姓，源出嬴姓，为颛顼帝高阳氏的直系后裔。"
"周","Zhōu","约 2500 万","周姓的最早出现，可追溯到远古的黄帝时期。"
"吴","Wú","约 2400 万","吴姓最早起源于炎帝姜姓，距今已有 5000 多年历史。"
"郑","Zhèng","约 1200 万","郑姓源出姬姓，为周宣王弟姬友的后裔。"
"王","Wáng","约 9468 万","王姓是中国最古老的姓氏之一，主要源自姬姓、子姓和妫姓。"
"冯","Féng","约 861 万","冯姓是一个多民族、多源流的古老姓氏，主要源自姬姓和归姓。"
"陈","Chén","约 7000 万","陈姓主要得姓于周朝初年的陈胡公满，为虞舜后裔。"
"褚","Chǔ","约 60 万","褚姓出自子姓，是殷商王族后裔。"
"卫","Wèi","约 270 万","卫姓出自姬姓，周文王第九子康叔之后，以国名为氏。"
"蒋","Jiǎng","约 660 万","蒋姓出自姬姓，周公旦的第三个儿子伯龄之后，以国名为氏。"
"沈","Shěn","约 600 万","沈姓源出嬴姓、姒姓、姬姓和芈姓，是一个多民族、多源流的姓氏。"
"韩","Hán","约 884 万","韩姓源出姬姓，为唐叔虞之后裔，以国名为氏。"
"杨","Yáng","约 4270 万","杨姓是中华姓氏之一，最早源于春秋时期的杨国（今山西省洪洞县）。"
"朱","Zhū","约 1500 万","朱姓是一个典型的多民族、多源流姓氏，主要源自姬姓、祁姓和少数民族改姓。"
"秦","Qín","约 320 万","秦姓源出嬴姓，为颛顼帝的后裔，以国名为氏。"
"尤","Yóu","约 80 万","尤姓是沈姓的分支，出自五代十国时期，为沈姓族人避审刑之讳而改。"
"许","Xǔ","约 890 万","许姓出自姜姓，以国为氏，是炎帝神农氏的后裔。"
"何","Hé","约 1400 万","何姓源出韩姓，为战国时期韩国公族的后裔。"
"吕","Lǚ","约 700 万","吕姓出自姜姓，是炎帝的后裔，以国为氏。"
"施","Shī","约 210 万","施姓起源于夏朝，是一个古老的姓氏，主要源自姬姓和子姓。"
"张","Zhāng","约 8500 万","张姓是中国第三大姓，源出姬姓，为黄帝后裔。"
"孔","Kǒng","约 340 万","孔姓源出子姓，为商朝始祖成汤的后裔。"
"曹","Cáo","约 730 万","曹姓主要源自姬姓、子姓和少数民族改姓。"
"严","Yán","约 220 万","严姓是中国南方典型的姓氏之一，源出庄姓，为避汉明帝刘庄之名讳而改。"
"华","Huà","约 100 万","华姓源出子姓，为商朝始祖成汤的后裔。"
"金","Jīn","约 380 万","金姓是一个典型的多民族、多源流姓氏，主要源自少昊金天氏、匈奴休屠王太子金日磾等。"
"魏","Wèi","约 680 万","魏姓源出姬姓，为周文王第十五子毕公高的后裔。"
"陶","Táo","约 200 万","陶姓源出伊祁氏，是尧帝的后裔。"
"姜","Jiāng","约 460 万","姜姓是中国最古老的姓氏之一，为炎帝神农氏的后裔。"
"戚","Qī","约 50 万","戚姓源出姬姓，为春秋时期卫国大夫孙林父的食邑，以邑名为氏。"
"谢","Xiè","约 1000 万","谢姓源出姜姓，为炎帝后裔申伯的后代。"
"邹","Zōu","约 450 万","邹姓源出姒姓和子姓，是一个多民族、多源流的姓氏。"
"喻","Yù","约 160 万","喻姓是一个多民族、多源流的姓氏群体，主要源自姬姓、芈姓和少数民族改姓。"
"柏","Bǎi","约 60 万","柏姓源出柏皇氏，是中国最古老的姓氏之一。"
"水","Shuǐ","人口不详","水姓是中国历史上比较罕见的姓氏之一，源出姒姓和共工氏。"
"窦","Dòu","约 80 万","窦姓源出姒姓，为夏帝少康之后。"
"章","Zhāng","约 150 万","章姓源出姜姓，为炎帝神农氏的后裔。"
"云","Yún","约 37 万","云姓源出妘姓，为黄帝的后裔。"
"苏","Sū","约 606 万","苏姓源出己姓，为颛顼帝的后裔。"
"潘","Pān","约 820 万","潘姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。"
"葛","Gě","约 140 万","葛姓源出嬴姓和葛天氏，是一个多民族、多源流的姓氏。"
"奚","Xī","约 28 万","奚姓源出任姓，为黄帝之子禺阳的后裔。"
"范","Fàn","约 500 万","范姓源出祁姓，为帝尧陶唐氏的后裔。"
"彭","Péng","约 760 万","彭姓源出篯姓，为颛顼帝的后裔。"
"郎","Láng","约 40 万","郎姓源出姬姓和纽祜禄氏，是一个多民族、多源流的姓氏。"
"鲁","Lǔ","约 440 万","鲁姓源出姬姓，为周公旦的后裔。"
"韦","Wéi","约 430 万","韦姓源出彭姓和韩姓，是一个多民族、多源流的姓氏。"
"昌","Chāng","约 28 万","昌姓源出有熊氏，为黄帝的后裔。"
"马","Mǎ","约 1900 万","马姓源出嬴姓，为伯益的后裔。"
"苗","Miáo","约 110 万","苗姓源出芈姓，为春秋时期楚国公族的后裔。"
"凤","Fèng","约 7 万","凤姓源出高辛氏，为帝喾的后裔。"
"花","Huā","约 52 万","花姓源出华姓，是一个多民族、多源流的姓氏。"
"方","Fāng","约 410 万","方姓源出姬姓，为西周时期方叔的后裔。"
"俞","Yú","约 190 万","俞姓源出黄帝臣跗之后，以物事为氏。"
"任","Rén","约 420 万","任姓是一个多民族、多源流的姓氏，主要源自黄帝少子禺阳的后裔。"
"袁","Yuán","约 700 万","袁姓源出妫姓，为舜帝的后裔。"
"柳","Liǔ","约 140 万","柳姓源出姬姓，为春秋时期鲁国展禽的后裔。"
"酆","Fēng","人口不详","酆姓源出姬姓，为周文王第十七子酆侯的后裔。"
"鲍","Bào","约 67 万","鲍姓源出姒姓和子姓，是一个多民族、多源流的姓氏。"
