year,storyName,story
约公元前 314 年,出生,黄歇出生于楚国，其家族背景虽在史书中记载不详，但从其后续能接受良好教育、四处游学，且迅速活跃于楚国政治舞台推断，应为楚国贵族阶层，拥有一定社会地位与资源。
公元前 298 年,秦国攻楚,秦昭王派大将白起攻打楚国，楚国接连丧失多城，郢都沦陷，楚顷襄王被迫迁都至陈县，楚国面临巨大危机，国力受损严重，国土大幅缩减，陷入战略防御困境，楚国在战国格局中的地位岌岌可危。
公元前 273 年,以辩止战,黄歇到达秦国时，秦国正欲联合韩、魏攻楚。黄歇上书秦昭王，文中引经据典、旁征博引，指出秦楚相争，韩、魏将渔翁得利，壮大实力，而秦楚皆为强国，若联手则可威慑其他诸侯国。他说：“天下莫强于秦、楚。今闻大王欲伐楚，此犹两虎相与斗。两虎相与斗而驽犬受其弊，不如善楚。” 从地缘政治、各国利害关系等多方面详细阐述，成功说服秦昭王，秦昭王下令白起停战，辞谢韩、魏，与楚国结为盟友，楚国暂时解除了迫在眉睫的军事威胁，赢得了宝贵的喘息时机。
公元前 272 年,陪同质秦,楚顷襄王为维持秦楚盟约，派太子完前往秦国做人质，黄歇作为太子亲信与辅佐，陪同太子完入秦。在秦国期间，黄歇悉心侍奉太子完，处理各种复杂事务，凭借其智慧与谋略，周旋于秦国权贵之间，尽力维护太子完的地位与安全，保障楚太子在秦的生活与尊严，为两国关系的稳定默默付出。
公元前 263 年,勇救太子,楚顷襄王病重，秦国却不同意太子完回国。黄歇深知太子完若不能及时归国继位，楚国国内局势将陷入混乱，阳文君之子可能趁机上位。于是，黄歇先游说与太子完交好的秦国相国范睢，陈明利害，称若太子完回国继位，必感恩秦国，加强两国友好；若不让其回，楚国另立国君，秦国将失去一个重要盟友。但秦昭王仍未应允，只许太子完的老师先回楚探病。黄歇当机立断，与太子完商议后，让太子完扮成楚国使者车夫，逃出秦国。自己则留在馆舍，以太子生病为由谢绝访客。待太子走远，才向秦昭王坦白，甘愿领死。后经范睢劝说，秦昭王赦免黄歇，放其回楚。
公元前 262 年,封相赐地,黄歇回到楚国三个月后，楚顷襄王去世，太子完顺利继位，即楚考烈王。楚考烈王任命黄歇为相国，将淮河以北的十二个县封给黄歇作为领地，封号为春申君。此时，战国局势风云变幻，魏有信陵君、赵有平原君、齐有孟尝君，他们广纳门客，把持朝政，黄歇与他们并称 “战国四公子”，开始在楚国政治舞台上发挥核心作用，开启长达二十多年的相国执政生涯。
公元前 258 年,率军救赵,秦国进攻赵国，围困邯郸，赵国形势危急，赵王派平原君赵胜到楚国求救。春申君黄歇奉命率军救赵，与魏国信陵君魏无忌联手，在邯郸城下与秦军展开激战。最终大破秦师，解了赵国之困。此役不仅展现了黄歇卓越的军事指挥才能，也提升了楚国在诸侯国中的威望，加强了楚国与赵、魏等国的联盟关系，一定程度上遏制了秦国东进的步伐。
公元前 255 年,北伐灭鲁,黄歇指挥楚国军队北伐，进攻鲁国。楚军凭借强大的实力与周密的战略部署，一举消灭鲁国。楚国的势力范围向东北方向扩张至山东半岛，极大地增强了楚国的国力与影响力，同时将先进的楚文化传播至新占领区域，促进了文化交流与融合，也为楚国带来了更多的资源与人口。
公元前 248 年,封地迁徙,黄歇向楚考烈王进言，称淮北一带与齐国接壤，战略位置重要，事务繁杂，设置为郡县便于管理，主动将自己的淮北十二县封地交还。同时请求改封到江东地区，楚考烈王同意。黄歇在江东的吴国废墟上大兴土木，建立城市作为自己的封地都城，对江东地区进行大规模开发建设，兴修水利、发展农业、整顿城防，使江东地区逐渐繁荣起来，成为楚国新的经济文化中心之一。
公元前 241 年,迁居吴地,各诸侯国因畏惧秦国不断攻伐，联合起来组成联军攻打秦国，楚考烈王被推举为联盟首领，黄歇负责协调各国关系。联军到达函谷关时，秦军出兵迎战，诸侯军队纷纷败退。楚考烈王将此次失利归咎于黄歇，对其日渐冷落。楚国国内也有不少人质疑黄歇的能力，认为楚国在他的治理下逐渐衰弱。黄歇门客朱英为其分析局势，指出秦国攻打楚国并非因楚国变弱，而是地缘政治因素变化。但黄歇未采纳朱英建议，后听从其建议说服楚考烈王将都城迁到寿春。之后，黄歇前往自己的封地吴地，继续行使相国职责，虽远离权力中心，但仍努力维持楚国在江东地区的稳定与发展。
公元前 238 年,死于非命,楚考烈王无子，黄歇为此忧心，遍寻宜生育的女子进献给楚王，皆无果。赵国人李园欲将妹妹献给楚王，因楚王无子而担忧妹妹失宠，便先投身黄歇门下为舍人。后李园妹妹李氏得幸于黄歇且怀孕，李园与妹妹合谋，让李氏劝说黄歇将自己献给楚王，若生下儿子，黄歇的儿子便能成为楚王。黄歇依计而行，李氏入宫后生下儿子熊悍，被立为太子，李园也随之得势。李园担心事情败露，暗中豢养死士。楚考烈王病重时，门客朱英提醒黄歇提防李园，建议安排自己担任郎中，以便在楚考烈王去世后诛杀李园，但黄歇认为李园软弱且受自己厚待，不会加害自己，未予采纳。楚考烈王去世后，李园抢先入宫，在棘门埋伏死士，待黄歇入宫时将其刺杀，砍下头颅扔到宫门外，并灭其全家。随后，太子熊悍继位，即楚幽王，楚国朝政落入李园之手，春申君辉煌一生以悲剧落幕。
